"Sample","Time point","Duration","Model","Regression","Dependent variable","Level","Independent variable","Estimate","95% CI low","95% CI up","SE","z score","p value"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans woman","batchb19",0.66,0,6752.84,4.71,-0.09,"0.93"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans woman","batchb20",0.6,0,5553.86,4.66,-0.11,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans woman","batchb21",4.52,0.2,102.68,1.59,0.95,"0.34"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans woman","batchb24",11.94,0.58,244.45,1.54,1.61,"0.11"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","Intercept",0,0,0.01,0.96,-7.32,"2.48e-13"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","SCORE",1,1,1,0,14.59,"3.18e-48"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","study_statusControl",0.28,0.06,1.28,0.77,-1.63,"0.10"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","pc1",1.11,1.03,1.21,0.04,2.54,"0.01"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","pc2",0.95,0.81,1.12,0.08,-0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","pc3",1.02,0.81,1.28,0.12,0.18,"0.86"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","pc4",0.95,0.74,1.21,0.12,-0.41,"0.68"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","pc5",0.55,0.17,1.83,0.61,-0.97,"0.33"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","pc6",0.9,0.64,1.25,0.17,-0.65,"0.52"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb02",4.6,0.3,69.95,1.39,1.1,"0.27"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb03",2.25,0.15,34.39,1.39,0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb04",0.89,0.04,20.57,1.6,-0.07,"0.94"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb05",0.06,0,71012.24,7.12,-0.39,"0.70"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb06",7.3,0.87,61.15,1.08,1.83,"0.07"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb07",0.02,0,46071420000,14.42,-0.26,"0.80"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb08",9.66,1.45,64.46,0.97,2.34,"0.02"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb09",6.14,0.9,41.87,0.98,1.85,"0.06"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb10",0.04,0,362741.1,8.21,-0.4,"0.69"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb11",0.06,0,549305700,11.69,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb12",8.58,1.28,57.61,0.97,2.21,"0.03"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb15",3.23,0.21,48.44,1.38,0.85,"0.40"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb16",1.68,0.21,13.46,1.06,0.49,"0.63"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb17",2.48,0.17,36.24,1.37,0.66,"0.51"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb18",0.28,0,7.919274e+14,18.16,-0.07,"0.94"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb19",10.62,1.05,107.3,1.18,2,"0.05"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb20",0.02,0,7.184449e+12,17.21,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb21",16.69,2.51,111.14,0.97,2.91,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Self-define","batchb24",20.95,3.13,140.09,0.97,3.14,"0.002"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","Intercept",0,0,0.01,2.15,-4.08,"4.54e-05"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","SCORE",1,1,1,0,-28.91,"9.93e-184"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","study_statusControl",0.41,0.1,1.64,0.7,-1.26,"0.21"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","pc1",0.85,0.62,1.16,0.16,-1.05,"0.29"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","pc2",0.97,0.56,1.68,0.28,-0.12,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","pc3",0.94,0.66,1.35,0.18,-0.32,"0.75"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","pc4",0.96,0.72,1.27,0.14,-0.31,"0.75"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","pc5",0.53,0.11,2.64,0.81,-0.77,"0.44"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","pc6",0.72,0.46,1.13,0.23,-1.42,"0.15"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb02",0.31,0,20042930,9.17,-0.13,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb03",12.52,0.12,1270,2.36,1.07,"0.28"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb04",20.63,0.26,1621.87,2.23,1.36,"0.17"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb05",0.39,0,217254.5,6.75,-0.14,"0.89"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb06",26.37,0.33,2104.94,2.23,1.46,"0.14"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb07",0.25,0,172094000,10.37,-0.13,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb08",49.34,0.72,3359.54,2.15,1.81,"0.07"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb09",42.99,0.63,2933.51,2.15,1.75,"0.08"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb10",0.35,0,112989.7,6.48,-0.16,"0.87"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb11",0.36,0,1426096000,11.28,-0.09,"0.93"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb12",36.73,0.54,2520.12,2.16,1.67,"0.09"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb15",18.2,0.18,1846.33,2.36,1.23,"0.22"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb16",1.88,0.02,208.02,2.4,0.26,"0.79"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb17",14.19,0.14,1446.76,2.36,1.12,"0.26"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb18",0.34,0,2.456507e+32,38.6,-0.03,"0.98"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb19",0.3,0,74076150,9.85,-0.12,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb20",0.23,0,380767200,10.82,-0.13,"0.89"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb21",80.39,1.18,5478,2.15,2.04,"0.04"
"Full sample","t1","cross-sectional","Sensitivitaet_an","Multinomial","gender","Trans man","batchb24",107.98,1.58,7364.21,2.15,2.17,"0.03"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","Intercept",0.75,0.69,0.82,0.04,-6.76,"1.39e-11"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","SCORE",0.99,0.99,0.99,0,-9966.16,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","study_statusControl",1.55,1.46,1.65,0.03,13.83,"1.71e-43"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","pc1",0.96,0.94,0.99,0.01,-2.96,"0.003"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","pc2",1.02,0.97,1.06,0.02,0.78,"0.43"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","pc3",1,0.96,1.03,0.02,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","pc4",0.99,0.96,1.03,0.02,-0.47,"0.64"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","pc5",1.37,1.14,1.66,0.1,3.28,"0.001"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","pc6",1,0.95,1.06,0.03,0.11,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb02",1.26,1.08,1.48,0.08,2.92,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb03",0.85,0.75,0.97,0.07,-2.45,"0.01"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb04",0.94,0.84,1.05,0.06,-1.13,"0.26"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb05",0.79,0.68,0.91,0.07,-3.17,"0.002"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb06",0.86,0.76,0.97,0.06,-2.36,"0.02"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb07",1.13,0.96,1.33,0.08,1.43,"0.15"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb08",0.53,0.48,0.58,0.05,-13.66,"1.72e-42"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb09",0.49,0.44,0.53,0.05,-15.32,"5.69e-53"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb10",0.99,0.87,1.12,0.07,-0.17,"0.86"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb11",0.71,0.56,0.89,0.12,-2.88,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb12",0.3,0.27,0.33,0.05,-22.7,"4.86e-114"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb15",0.91,0.78,1.05,0.08,-1.27,"0.20"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb16",0.34,0.31,0.38,0.05,-20.69,"4.12e-95"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb17",0.71,0.62,0.82,0.07,-4.68,"2.81e-06"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb18",0.2,0.06,0.64,0.6,-2.7,"0.007"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb19",0.82,0.68,0.99,0.09,-2.08,"0.04"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb20",0.93,0.79,1.11,0.09,-0.77,"0.44"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb21",0.35,0.31,0.39,0.06,-18.07,"5.05e-73"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Cis man","batchb24",0.34,0.3,0.39,0.07,-16.35,"4.10e-60"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","Intercept",0.01,0,0.01,0.35,-14.54,"6.63e-48"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","SCORE",1,1,1,0,67.16,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","study_statusControl",0.42,0.19,0.92,0.4,-2.16,"0.03"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","pc1",1.08,1.02,1.15,0.03,2.56,"0.01"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","pc2",0.97,0.87,1.09,0.06,-0.49,"0.62"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","pc3",0.96,0.84,1.1,0.07,-0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","pc4",1.09,0.94,1.25,0.07,1.15,"0.25"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","pc5",0.89,0.42,1.89,0.38,-0.29,"0.77"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","pc6",0.9,0.73,1.12,0.11,-0.91,"0.36"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb02",0,0,34008550,11.61,-0.47,"0.64"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb03",0.9,0.25,3.32,0.66,-0.15,"0.88"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb04",0.53,0.14,2.03,0.68,-0.92,"0.36"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb05",0.44,0.06,3.08,1,-0.83,"0.41"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb06",0.51,0.11,2.39,0.79,-0.86,"0.39"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb07",0,0,1.198394e+25,33.27,-0.22,"0.82"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb08",2.75,1.34,5.63,0.37,2.75,"0.006"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb09",3.24,1.59,6.6,0.36,3.25,"0.001"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb10",0.31,0.04,2.43,1.06,-1.12,"0.26"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb11",1.03,0.13,8.47,1.07,0.03,"0.98"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb12",3.03,1.48,6.21,0.37,3.04,"0.002"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb15",1.86,0.59,5.84,0.58,1.07,"0.29"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb16",0.26,0.09,0.78,0.56,-2.4,"0.02"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb17",0.66,0.15,2.93,0.76,-0.55,"0.58"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb18",0.11,0,47844380,10.16,-0.22,"0.83"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb19",1.24,0.26,6.06,0.81,0.27,"0.79"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb20",0,0,2.612743e+26,34.92,-0.22,"0.83"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb21",5.5,2.7,11.19,0.36,4.7,"2.65e-06"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Non-binary","batchb24",9.22,4.55,18.65,0.36,6.17,"6.68e-10"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","Intercept",0,0,0,1.54,-5.64,"1.72e-08"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","SCORE",1,1,1,0,-298.29,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","study_statusControl",0.54,0.1,2.75,0.83,-0.75,"0.46"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","pc1",0.97,0.67,1.41,0.19,-0.14,"0.88"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","pc2",0.67,0.34,1.31,0.34,-1.17,"0.24"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","pc3",0.79,0.45,1.38,0.28,-0.82,"0.41"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","pc4",0.81,0.49,1.35,0.26,-0.8,"0.42"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","pc5",28.24,2.84,280.97,1.17,2.85,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","pc6",3.44,1.51,7.86,0.42,2.93,"0.003"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb02",0.5,0,8518.29,4.97,-0.14,"0.89"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb03",12.94,0.55,303.09,1.61,1.59,"0.11"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb04",3.8,0.12,119.62,1.76,0.76,"0.45"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb05",0.8,0,561.29,3.35,-0.07,"0.95"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb06",5.76,0.19,171.48,1.73,1.01,"0.31"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb07",12.74,0.39,410.78,1.77,1.44,"0.15"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb08",5.27,0.26,108.29,1.54,1.08,"0.28"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb09",6.77,0.34,135.14,1.53,1.25,"0.21"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb10",0.71,0,324.22,3.13,-0.11,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb11",0.76,0,22211.83,5.25,-0.05,"0.96"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb12",5.46,0.27,111.93,1.54,1.1,"0.27"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb15",0.55,0,1615.79,4.08,-0.15,"0.88"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb16",0.23,0,36.35,2.58,-0.57,"0.57"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb17",0.68,0,278.36,3.07,-0.12,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb18",0.46,0,6.714607e+21,26.04,-0.03,"0.98"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb19",0.66,0,6752.8,4.71,-0.09,"0.93"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb20",0.6,0,5553.83,4.66,-0.11,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb21",4.52,0.2,102.68,1.59,0.95,"0.34"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans woman","batchb24",11.94,0.58,244.45,1.54,1.61,"0.11"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","Intercept",0,0,0.01,0.96,-7.32,"2.48e-13"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","SCORE",1,1,1,0,18.15,"1.36e-73"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","study_statusControl",0.28,0.06,1.28,0.77,-1.63,"0.10"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","pc1",1.11,1.03,1.21,0.04,2.54,"0.01"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","pc2",0.95,0.81,1.12,0.08,-0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","pc3",1.02,0.81,1.28,0.12,0.18,"0.86"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","pc4",0.95,0.74,1.21,0.12,-0.41,"0.68"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","pc5",0.55,0.17,1.83,0.61,-0.97,"0.33"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","pc6",0.9,0.64,1.25,0.17,-0.65,"0.52"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb02",4.6,0.3,69.95,1.39,1.1,"0.27"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb03",2.25,0.15,34.39,1.39,0.58,"0.56"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb04",0.89,0.04,20.57,1.6,-0.07,"0.94"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb05",0.06,0,71012.18,7.12,-0.39,"0.70"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb06",7.3,0.87,61.15,1.08,1.83,"0.07"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb07",0.02,0,46068360000,14.42,-0.26,"0.80"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb08",9.66,1.45,64.46,0.97,2.34,"0.02"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb09",6.14,0.9,41.87,0.98,1.85,"0.06"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb10",0.04,0,362728.2,8.21,-0.4,"0.69"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb11",0.06,0,549294800,11.69,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb12",8.58,1.28,57.61,0.97,2.21,"0.03"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb15",3.23,0.21,48.44,1.38,0.85,"0.40"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb16",1.68,0.21,13.46,1.06,0.49,"0.63"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb17",2.48,0.17,36.24,1.37,0.66,"0.51"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb18",0.28,0,7.919263e+14,18.16,-0.07,"0.94"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb19",10.62,1.05,107.3,1.18,2,"0.05"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb20",0.02,0,7.184033e+12,17.21,-0.24,"0.81"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb21",16.69,2.51,111.14,0.97,2.91,"0.004"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Self-define","batchb24",20.95,3.13,140.09,0.97,3.14,"0.002"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","Intercept",0,0,0.01,2.15,-4.08,"4.54e-05"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","SCORE",1,1,1,0,152.86,"0.00e+00"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","study_statusControl",0.41,0.1,1.64,0.7,-1.26,"0.21"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","pc1",0.85,0.62,1.16,0.16,-1.05,"0.29"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","pc2",0.97,0.56,1.68,0.28,-0.12,"0.91"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","pc3",0.94,0.66,1.35,0.18,-0.32,"0.75"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","pc4",0.96,0.72,1.27,0.14,-0.31,"0.75"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","pc5",0.53,0.11,2.64,0.81,-0.77,"0.44"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","pc6",0.72,0.46,1.13,0.23,-1.42,"0.15"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","batchb02",0.31,0,20042380,9.17,-0.13,"0.90"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","batchb03",12.52,0.12,1270,2.36,1.07,"0.28"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","batchb04",20.63,0.26,1621.86,2.23,1.36,"0.17"
"Full sample","t1","cross-sectional","Sensitivitaet_Bipolar","Multinomial","gender","Trans man","batchb05",0.39,0,217251.6,6.75,-0.14,"0.89"
